file_name,group,answer
9_6/6_0.jpeg,level2_visual_number,'6'
9_6/6_45.jpeg,level2_visual_number,'6'
9_6/6_90.jpeg,level2_visual_number,'6'
9_6/6_135.jpeg,level2_visual_number,'6'
9_6/6_180.jpeg,level2_visual_number,'6'
9_6/6_225.jpeg,level2_visual_number,'6'
9_6/6_270.jpeg,level2_visual_number,'6'
9_6/6_315.jpeg,level2_visual_number,'6'
9_6/9_0.jpeg,level2_visual_number,'9'
9_6/9_45.jpeg,level2_visual_number,'9'
9_6/9_90.jpeg,level2_visual_number,'9'
9_6/9_135.jpeg,level2_visual_number,'9'
9_6/9_180.jpeg,level2_visual_number,'9'
9_6/9_225.jpeg,level2_visual_number,'9'
9_6/9_270.jpeg,level2_visual_number,'9'
9_6/9_315.jpeg,level2_visual_number,'9'
infront_behind/cube_front_0.jpeg,level1,'infront'
infront_behind/cube_front_45.jpeg,level1,'infront'
infront_behind/cube_front_90.jpeg,level1,'infront'
infront_behind/cube_front_135.jpeg,level1,'infront'
infront_behind/cube_front_180.jpeg,level1,'infront'
infront_behind/cube_front_225.jpeg,level1,'infront'
infront_behind/cube_front_270.jpeg,level1,'infront'
infront_behind/cube_front_315.jpeg,level1,'infront'
infront_behind/sphere_front_0.jpeg,level1,'behind'
infront_behind/sphere_front_45.jpeg,level1,'behind'
infront_behind/sphere_front_90.jpeg,level1,'behind'
infront_behind/sphere_front_135.jpeg,level1,'behind'
infront_behind/sphere_front_180.jpeg,level1,'behind'
infront_behind/sphere_front_225.jpeg,level1,'behind'
infront_behind/sphere_front_270.jpeg,level1,'behind'
infront_behind/sphere_front_315.jpeg,level1,'behind'
left_right/left_cube_0.jpeg,level2_spatial,'left'
left_right/left_cube_45.jpeg,level2_spatial,'left'
left_right/left_cube_90.jpeg,level2_spatial,'left'
left_right/left_cube_135.jpeg,level2_spatial,'left'
left_right/left_cube_180.jpeg,level2_spatial,'left'
left_right/left_cube_225.jpeg,level2_spatial,'left'
left_right/left_cube_270.jpeg,level2_spatial,'left'
left_right/left_cube_315.jpeg,level2_spatial,'left'
left_right/right_cube_0.jpeg,level2_spatial,'right'
left_right/right_cube_45.jpeg,level2_spatial,'right'
left_right/right_cube_90.jpeg,level2_spatial,'right'
left_right/right_cube_135.jpeg,level2_spatial,'right'
left_right/right_cube_180.jpeg,level2_spatial,'right'
left_right/right_cube_225.jpeg,level2_spatial,'right'
left_right/right_cube_270.jpeg,level2_spatial,'right'
left_right/right_cube_315.jpeg,level2_spatial,'right'
M_W/M_0.jpeg,level2_visual_letter,'M'
M_W/M_45.jpeg,level2_visual_letter,'M'
M_W/M_90.jpeg,level2_visual_letter,'M'
M_W/M_135.jpeg,level2_visual_letter,'M'
M_W/M_180.jpeg,level2_visual_letter,'M'
M_W/M_225.jpeg,level2_visual_letter,'M'
M_W/M_270.jpeg,level2_visual_letter,'M'
M_W/M_315.jpeg,level2_visual_letter,'M'
M_W/W_0.jpeg,level2_visual_letter,'W'
M_W/W_45.jpeg,level2_visual_letter,'W'
M_W/W_90.jpeg,level2_visual_letter,'W'
M_W/W_135.jpeg,level2_visual_letter,'W'
M_W/W_180.jpeg,level2_visual_letter,'W'
M_W/W_225.jpeg,level2_visual_letter,'W'
M_W/W_270.jpeg,level2_visual_letter,'W'
M_W/W_315.jpeg,level2_visual_letter,'W'